지역,선거인수,투표수,민주정의당 노태우,통일민주당 김영삼,평화민주당 김대중,신민주공화당 김종필,한주의통일한국당 신종일,계,무효,기권
서울 종로구,173149,151751,46142,40485,51748,10604,134,149113,2638,21398
서울 중구,136246,118616,35760,29805,42049,8834,117,116565,2051,17630
서울 마포구,296563,261082,77074,77081,82814,19846,206,257021,4061,35481
서울 용산구,211529,183686,56863,52208,57897,13609,158,180735,2951,27843
서울 성동구,488239,430964,126415,115084,147525,34488,342,423854,7110,57275
서울 동대문구,604013,534838,162115,150896,168948,42933,534,525426,9412,69175
서울 성북구,379023,332840,98305,86419,116901,25903,288,327816,5024,46183
서울 도봉구,584255,514683,150885,143064,169701,41976,430,506056,8627,69572
서울 서대문구,269526,236757,67447,64618,84244,16723,177,233209,3548,32769
서울 은평구,291220,256520,75630,76566,81478,18609,196,252479,4041,34700
서울 강서구,498912,442356,129044,132770,135335,38515,332,435996,6360,56556
서울 구로구,448630,399094,108859,100476,130017,41002,319,380673,18421,49536
서울 영등포구,298222,262990,79942,73333,81165,24251,185,258876,4114,35232
서울 동작구,266646,235969,65966,66912,79535,19767,215,232395,3574,30677
서울 관악구,364222,324570,84782,83275,122063,29214,250,319584,4986,39652
서울 강남구,537067,468287,150220,163656,116759,32511,287,463433,4854,68780
서울 강동구,639248,562802,167375,180699,164831,42203,390,555498,7304,76446
부산 중구,58957,51788,16155,28894,4742,1221,79,51091,697,7169
부산 서구,136220,119222,35843,69760,8987,2372,210,117172,2050,16998
부산 동구,127161,112478,35856,63667,8443,2587,233,110786,1692,14683
부산 영도구,133786,113381,36951,58855,13517,2181,169,111673,1708,20405
부산 부산진구,327888,292507,94569,157687,27913,7388,626,288183,4324,35381
부산 동래구,542478,483521,151360,271916,39420,13746,819,477261,6260,58957
부산 남구,344310,305969,98268,169536,25500,7843,434,301581,4388,38341
부산 북구,289057,256530,80047,138075,27242,6771,584,252719,3811,32527
부산 해운대구,144681,127326,43787,66506,11710,3356,221,125580,1746,17355
부산 사하구,185500,161602,47786,92115,14935,4198,237,159271,2331,23898
대구 서구,350291,316781,226444,70991,7667,6299,1265,312666,4115,33510
대구 중구,104996,94186,65203,23013,2585,1864,272,92937,1249,10810
대구 북구,196065,175962,126672,38546,4613,3263,457,173551,2411,20103
대구 동구,202921,183114,129607,42187,4749,3560,593,180696,2418,19807
대구 수성구,194153,173660,115085,47470,4637,3874,535,171601,2059,20493
대구 남구,226867,202949,137352,52673,5580,4370,652,200627,2322,23918
인천 남구,418955,371206,148053,113914,70089,33310,515,365881,5325,47749
인천 중구,52232,46179,18882,14837,8224,3474,62,45479,700,6053
인천 북구,393911,343400,123747,97838,82920,33004,423,337932,5468,50511
인천 동구,90173,81198,35504,22015,15378,6545,126,79568,1630,8975
광주 동구,115935,107446,5779,509,99545,261,21,106115,1331,8489
광주 북구,177371,164170,8102,985,152545,439,31,162102,2068,13201
광주 서구,227182,209510,9062,977,197464,411,22,207936,1574,17672
경기 수원시,308737,273298,100853,82160,55941,29947,372,269273,4025,35439
