지역,민주정의당 노태우,통일민주당 김영삼,평화민주당 김대중,신민주공화당 김종필,한주의통일한국당 신종일
서울 종로구,46142,40485,51748,10604,134
서울 중구,35760,29805,42049,8834,117
서울 마포구,77074,77081,82814,19846,206
서울 용산구,56863,52208,57897,13609,158
서울 성동구,126415,115084,147525,34488,342
서울 동대문구,162115,150896,168948,42933,534
서울 성북구,98305,86419,116901,25903,288
서울 도봉구,150885,143064,169701,41976,430
서울 서대문구,67447,64618,84244,16723,177
서울 은평구,75630,76566,81478,18609,196
서울 강서구,129044,132770,135335,38515,332
서울 구로구,108859,100476,130017,41002,319
서울 영등포구,79942,73333,81165,24251,185
서울 동작구,65966,66912,79535,19767,215
서울 관악구,84782,83275,122063,29214,250
서울 강남구,150220,163656,116759,32511,287
서울 강동구,167375,180699,164831,42203,390
부산 중구,16155,28894,4742,1221,79
부산 서구,35843,69760,8987,2372,210
부산 동구,35856,63667,8443,2587,233
부산 영도구,36951,58855,13517,2181,169
부산 부산진구,94569,157687,27913,7388,626
부산 동래구,151360,271916,39420,13746,819
부산 남구,98268,169536,25500,7843,434
부산 북구,80047,138075,27242,6771,584
부산 해운대구,43787,66506,11710,3356,221
부산 사하구,47786,92115,14935,4198,237
대구 서구,226444,70991,7667,6299,1265
대구 중구,65203,23013,2585,1864,272
대구 북구,126672,38546,4613,3263,457
대구 동구,129607,42187,4749,3560,593
대구 수성구,115085,47470,4637,3874,535
대구 남구,137352,52673,5580,4370,652
인천 남구,148053,113914,70089,33310,515
인천 중구,18882,14837,8224,3474,62
인천 북구,123747,97838,82920,33004,423
인천 동구,35504,22015,15378,6545,126
광주 동구,5779,509,99545,261,21
광주 북구,8102,985,152545,439,31
광주 서구,9062,977,197464,411,22
경기 수원시,100853,82160,55941,29947,372
경기 화성군,60390,36261,21812,10449,359
경기 성남시,88476,60433,91230,21957,355
경기 광주군,34379,25281,18166,6120,215
경기 의정부시,39861,24808,20889,7909,129
경기 동두천시,19531,8762,7923,1980,72
경기 양주군,21232,11046,7448,3170,134
경기 안양시,72775,66784,58297,24080,207
경기 광명시,43684,40586,45087,14909,150
경기 과천시,12149,15056,9566,2364,25
경기 안산시,27532,20000,21158,7590,76
경기 시흥시,43969,37105,31270,12185,186
경기 옹진군,14574,3248,1662,399,43
경기 부천시,92488,83012,84901,28917,318
경기 김포군,34380,18436,11125,3900,182
경기 강화군,29438,11665,6032,1651,170
경기 구리시,19451,14012,12596,4354,73
경기 남양주군,40895,25729,17660,7042,226
경기 양평군,29661,12001,5487,2352,238
경기 여주군,29866,14650,5832,2771,212
경기 이천군,36691,21381,9288,4655,241
경기 용인군,37331,23977,14261,7704,218
경기 평택시,17214,12345,7402,4602,69
경기 송탄시,18328,10539,6818,3519,67
경기 평택군,31777,17237,9314,5059,186
경기 안성군,35162,20070,9110,5163,252
경기 파주군,49926,24539,13959,4709,260
경기 고양군,44113,31450,26546,8269,197
경기 포천군,38428,12664,8591,5279,169
경기 연천군,19965,7571,4693,2124,114
경기 가평군,19716,7466,3870,2130,106
강원 춘천시,47211,27335,9762,5897,179
강원 원주시,41547,25141,9931,4741,177
강원 강릉시,36935,22050,6110,4448,140
강원 동해시,29429,13112,3429,2577,111
강원 태백시,32377,19031,3899,4283,130
강원 명주군,28650,9949,2877,1904,125
강원 양양군,13377,4733,1582,1195,73
강원 삼척시,13339,5007,1354,1171,44
강원 삼척군,25842,9099,2219,2114,151
강원 홍천군,29104,13368,4717,2299,262
강원 춘성군,18220,7416,2458,1509,129
강원 양구군,11281,3551,1357,655,50
강원 인제군,15179,4562,2586,937,72
강원 원성군,19736,7684,3149,1573,125
강원 횡성군,20246,8430,3669,1446,144
강원 영월군,27282,10857,2394,2356,167
강원 평창군,22498,8289,3031,1649,144
강원 정선군,42405,14408,5541,3137,163
강원 속초시,20466,10276,3583,2849,58
강원 고성군,17020,5558,2184,1045,56
강원 화천군,12957,3243,1964,846,48
강원 철원군,21468,7486,3682,1323,80
충북 청주시,74342,59453,24302,33993,372
충북 청원군,36327,20469,9490,13509,349
충북 충주시,26215,19653,5490,10548,166
충북 제천시,25195,17917,4348,3883,145
충북 중원군,24362,12685,3703,6227,214
충북 제원군,15043,7957,1872,1642,157
충북 단양군,19167,10209,1770,1849,167
충북 영동군,24075,10776,5020,3437,221
충북 보은군,19266,7889,5608,5759,161
충북 옥천군,23767,7626,6856,6361,174
충북 괴산군,28488,14675,5678,6950,300
충북 진천군,15759,9718,3671,3727,158
충북 음성군,23216,14824,5324,4571,212
대전 동구,49068,39735,30333,61929,238
대전 중구,64002,59676,42797,95540,350
충북 천안시,20733,16166,9637,29855,145
충북 온양시,7353,5526,3231,13712,50
충북 아산군,15741,9646,5238,24158,199
충북 천원군,20405,10897,5990,20253,203
충북 대덕군,12277,7731,5790,16695,126
충북 금산군,20746,9841,6775,11589,268
충북 연기군,14975,9239,4479,22467,153
충북 논산군,28444,11251,16379,41424,264
충북 공주시,6052,3128,2418,16040,44
충북 공주군,14086,5289,3552,31916,166
충북 부여군,11117,3482,3729,52659,152
충북 대천시,5397,2749,2746,15192,53
충북 서천군,15763,5703,6492,26799,185
충북 보령군,10416,4508,3984,28075,143
충북 홍성군,15387,8316,5764,32576,227
충북 청양군,7916,2609,2199,20316,91
충북 예산군,17457,8773,6188,37042,224
충북 서산군,28831,14640,14940,55770,437
충북 당진군,16325,7622,8111,37207,184
전북 전주시,25971,3153,209642,1799,133
전북 완주군,8732,847,51767,370,83
전북 군산시,12215,1932,74082,1473,54
전북 옥구군,7893,683,42974,392,62
전북 이리시,10904,1745,82173,1220,54
전북 익산군,11597,1237,55644,876,71
전북 진안군,7825,554,23770,158,72
전북 무주군,8091,978,14372,263,210
전북 장수군,4520,362,18578,100,85
전북 남원시,4065,346,22740,108,13
전북 임실군,6002,436,29140,161,61
전북 남원군,6984,579,33889,154,94
전북 순창군,5010,342,25145,115,64
전북 정주시,4406,414,32237,175,37
전북 정읍군,8265,877,51415,268,123
전북 고창군,5837,700,55130,235,85
전북 김제군,14149,1237,76206,478,121
전북 부안군,8294,708,50051,284,79
전남 목포시,6337,692,106587,283,43
전남 무안군,3254,293,49315,89,25
전남 신안군,3509,383,49531,128,32
전남 여수시,6315,1375,78538,399,33
전남 여천시,2409,1183,23557,303,21
전남 광양군,7349,3190,44225,655,38
전남 여천군,3689,559,42641,146,47
전남 순천시,5202,1101,59580,401,24
전남 구례군,2919,256,22696,95,33
전남 승주군,4569,569,47359,177,58
전남 나주시,1863,165,21739,67,13
전남 송정시,2088,240,24603,114,7
전남 광산군,2980,371,41679,182,18
전남 나주군,4207,402,57933,129,46
전남 담양군,3842,360,41402,117,47
전남 곡성군,3424,335,29221,81,39
전남 화순군,3417,312,47219,95,35
전남 보성군,5932,440,50574,150,66
전남 고흥군,8432,740,78191,141,52
전남 장흥군,3803,413,41430,124,39
전남 강진군,3855,284,36540,90,11
전남 영암군,3791,450,42467,131,25
전남 완도군,4540,412,51626,122,30
전남 해남군,6250,611,70148,141,62
전남 진도군,3780,342,31200,85,37
전남 영광군,5227,647,49149,168,52
전남 함평군,3138,300,39213,79,19
전남 장성군,3108,401,39627,139,42
경북 포항시,79932,53568,9192,5262,280
경북 경주시,38925,26376,1963,2170,246
경북 김천시,25167,13849,991,1177,116
경북 금릉군,35818,13026,719,1191,234
경북 안동시,32870,20618,1424,1337,189
경북 구미시,50633,18329,3782,4664,147
경북 영주시,25800,15775,896,799,100
경북 영풍군,26204,12530,504,666,186
경북 영천시,17268,7278,689,541,213
경북 영천군,36238,13575,705,825,599
경북 상주시,20450,7169,748,662,78
경북 상주군,48618,14619,1041,1487,316
경북 점촌시,16740,7102,600,1513,69
경북 문경군,30274,9835,832,2242,193
경북 달성군,38225,10061,1052,939,319
경북 고령군,19100,5755,391,415,144
