지역,선거인수,투표수,민주자유당 김영삼,민주당 김대중,통일국민당 정주영,신정당 박찬종,대한정의당 이병호,무소속 김옥선 ,무소속 백기완,계,무효,기권
서울 종로구,162456.0,130419.0,41396.0,50226.0,27397.0,7234.0,133.0,284.0,1600.0,128270.0,2149.0,32037.0
서울 중구,126127.0,101005.0,34093.0,41814.0,17005.0,5273.0,90.0,224.0,1096.0,99595.0,1410.0,25122.0
서울 용산구,203069.0,161166.0,59755.0,57144.0,29967.0,9953.0,121.0,339.0,1810.0,159089.0,2077.0,41903.0
서울 성동구,535870.0,434894.0,147479.0,172908.0,77039.0,25597.0,344.0,1014.0,4746.0,429127.0,5767.0,100976.0
서울 동대문구,328577.0,267663.0,94935.0,102371.0,46122.0,16511.0,232.0,603.0,3274.0,264048.0,3615.0,60914.0
서울 중랑구,306125.0,250029.0,88941.0,92558.0,45965.0,15871.0,248.0,641.0,2787.0,247011.0,3018.0,56096.0
서울 성북구,369900.0,299082.0,100180.0,121068.0,50682.0,18455.0,256.0,736.0,3812.0,295189.0,3893.0,70818.0
서울 도봉구,517359.0,420722.0,143256.0,165172.0,74348.0,26774.0,355.0,882.0,5100.0,415887.0,4835.0,96637.0
서울 노원구,371761.0,304734.0,113737.0,109653.0,53258.0,20678.0,238.0,691.0,3395.0,301650.0,3084.0,67027.0
서울 은평구,344588.0,280377.0,97613.0,105512.0,51235.0,18527.0,216.0,634.0,3486.0,277223.0,3154.0,64211.0
서울 서대문구,275341.0,223564.0,76140.0,90288.0,36658.0,14034.0,182.0,479.0,2900.0,220681.0,2883.0,51777.0
서울 마포구,304266.0,245938.0,87994.0,91632.0,43218.0,16151.0,195.0,573.0,3227.0,242990.0,2948.0,58328.0
서울 양천구,326856.0,269454.0,100174.0,99806.0,46152.0,17027.0,218.0,603.0,2638.0,266618.0,2836.0,57402.0
서울 강서구,285486.0,233994.0,88206.0,82637.0,42571.0,14800.0,177.0,548.0,2522.0,231461.0,2533.0,51492.0
서울 구로구,489974.0,399629.0,137367.0,158558.0,67633.0,24755.0,395.0,1133.0,4417.0,394258.0,5371.0,90345.0
서울 영등포구,309585.0,253177.0,93225.0,94325.0,43219.0,15878.0,198.0,571.0,2866.0,250282.0,2895.0,56408.0
서울 동작구,298445.0,243134.0,88723.0,95230.0,37185.0,15603.0,165.0,466.0,3076.0,240448.0,2686.0,55311.0
서울 관악구,403108.0,332045.0,107064.0,145501.0,49839.0,20221.0,266.0,846.0,4540.0,328277.0,3768.0,71063.0
서울 서초구,276535.0,224862.0,94627.0,65915.0,42443.0,17744.0,124.0,241.0,1960.0,223054.0,1808.0,51673.0
서울 강남구,354770.0,287960.0,125757.0,79020.0,59515.0,18342.0,168.0,348.0,2593.0,285743.0,2217.0,66810.0
서울 송파구,449829.0,367893.0,139837.0,125653.0,71151.0,23530.0,223.0,644.0,3434.0,364472.0,3421.0,81936.0
서울 강동구,354527.0,289570.0,106799.0,99645.0,58027.0,18577.0,253.0,598.0,2505.0,286404.0,3166.0,64957.0
부산 중구,53477.0,44449.0,32570.0,5236.0,2715.0,3031.0,17.0,40.0,413.0,44022.0,427.0,9028.0
부산 서구,138816.0,114643.0,85151.0,12495.0,6136.0,8378.0,47.0,163.0,1074.0,113444.0,1199.0,24173.0
부산 동구,122936.0,102568.0,75752.0,11416.0,5415.0,7842.0,43.0,154.0,990.0,101612.0,956.0,20368.0
부산 영도구,138161.0,112498.0,78295.0,17549.0,5677.0,8635.0,43.0,174.0,984.0,111357.0,1141.0,25663.0
부산 부산진구,337332.0,281585.0,205252.0,36164.0,16635.0,16874.0,141.0,441.0,3217.0,278724.0,2861.0,55747.0
부산 동래구,388726.0,327651.0,239359.0,36961.0,22997.0,21459.0,120.0,437.0,3546.0,324879.0,2772.0,61075.0
부산 남구,365765.0,307026.0,224653.0,35706.0,20175.0,19945.0,134.0,443.0,3243.0,304299.0,2727.0,58739.0
부산 북구,335111.0,278141.0,199719.0,40584.0,16944.0,14939.0,129.0,474.0,2548.0,275337.0,2804.0,56970.0
부산 해운대구,181300.0,148733.0,104139.0,20140.0,10955.0,10163.0,83.0,291.0,1604.0,147375.0,1358.0,32567.0
부산 사하구,239562.0,198354.0,145413.0,24394.0,11013.0,13595.0,111.0,272.0,1707.0,196505.0,1849.0,41208.0
부산 금정구,210633.0,175474.0,125666.0,20758.0,12949.0,12102.0,76.0,275.0,2043.0,173869.0,1605.0,35159.0
부산 강서구,54012.0,44424.0,35504.0,3652.0,2296.0,2041.0,34.0,72.0,367.0,43966.0,458.0,9588.0
대구 중구,91770.0,72678.0,42989.0,5571.0,14120.0,7890.0,67.0,165.0,885.0,71687.0,991.0,19092.0
대구 동구,245301.0,190894.0,108721.0,15510.0,37125.0,24046.0,215.0,531.0,2322.0,188470.0,2424.0,54407.0
대구 서구,247256.0,193836.0,114902.0,15145.0,36745.0,21868.0,188.0,546.0,1955.0,191349.0,2487.0,53420.0
