지역,민주자유당 김영삼,민주당 김대중,통일국민당 정주영,신정당 박찬종,대한정의당 이병호,무소속 김옥선 ,무소속 백기완
서울 종로구,41396.0,50226.0,27397.0,7234.0,133.0,284.0,1600.0
서울 중구,34093.0,41814.0,17005.0,5273.0,90.0,224.0,1096.0
서울 용산구,59755.0,57144.0,29967.0,9953.0,121.0,339.0,1810.0
서울 성동구,147479.0,172908.0,77039.0,25597.0,344.0,1014.0,4746.0
서울 동대문구,94935.0,102371.0,46122.0,16511.0,232.0,603.0,3274.0
서울 중랑구,88941.0,92558.0,45965.0,15871.0,248.0,641.0,2787.0
서울 성북구,100180.0,121068.0,50682.0,18455.0,256.0,736.0,3812.0
서울 도봉구,143256.0,165172.0,74348.0,26774.0,355.0,882.0,5100.0
서울 노원구,113737.0,109653.0,53258.0,20678.0,238.0,691.0,3395.0
서울 은평구,97613.0,105512.0,51235.0,18527.0,216.0,634.0,3486.0
서울 서대문구,76140.0,90288.0,36658.0,14034.0,182.0,479.0,2900.0
서울 마포구,87994.0,91632.0,43218.0,16151.0,195.0,573.0,3227.0
서울 양천구,100174.0,99806.0,46152.0,17027.0,218.0,603.0,2638.0
서울 강서구,88206.0,82637.0,42571.0,14800.0,177.0,548.0,2522.0
서울 구로구,137367.0,158558.0,67633.0,24755.0,395.0,1133.0,4417.0
서울 영등포구,93225.0,94325.0,43219.0,15878.0,198.0,571.0,2866.0
서울 동작구,88723.0,95230.0,37185.0,15603.0,165.0,466.0,3076.0
서울 관악구,107064.0,145501.0,49839.0,20221.0,266.0,846.0,4540.0
서울 서초구,94627.0,65915.0,42443.0,17744.0,124.0,241.0,1960.0
서울 강남구,125757.0,79020.0,59515.0,18342.0,168.0,348.0,2593.0
서울 송파구,139837.0,125653.0,71151.0,23530.0,223.0,644.0,3434.0
서울 강동구,106799.0,99645.0,58027.0,18577.0,253.0,598.0,2505.0
부산 중구,32570.0,5236.0,2715.0,3031.0,17.0,40.0,413.0
부산 서구,85151.0,12495.0,6136.0,8378.0,47.0,163.0,1074.0
부산 동구,75752.0,11416.0,5415.0,7842.0,43.0,154.0,990.0
부산 영도구,78295.0,17549.0,5677.0,8635.0,43.0,174.0,984.0
부산 부산진구,205252.0,36164.0,16635.0,16874.0,141.0,441.0,3217.0
부산 동래구,239359.0,36961.0,22997.0,21459.0,120.0,437.0,3546.0
부산 남구,224653.0,35706.0,20175.0,19945.0,134.0,443.0,3243.0
부산 북구,199719.0,40584.0,16944.0,14939.0,129.0,474.0,2548.0
