지역,한나라당 이회창,새정치국민회의 김대중,국민신당 이인제,건설국민승리21 권영길,공화당 허경영,바른정치연합 김한식,통일한국당 신정일
서울 성동구을,30052.0,42528.0,11407.0,843.0,91.0,150.0,98.0
서울 광진구을,43469.0,55222.0,15065.0,1225.0,109.0,127.0,80.0
서울 동대문구을,42124.0,50565.0,15772.0,1015.0,136.0,155.0,108.0
서울 중랑구을,60659.0,68324.0,25728.0,1441.0,163.0,226.0,129.0
서울 성북구을,47526.0,67773.0,18842.0,1371.0,156.0,229.0,137.0
서울 강북구을,34219.0,53511.0,14058.0,1019.0,105.0,161.0,108.0
서울 도봉구을,46724.0,49559.0,15154.0,1215.0,90.0,147.0,88.0
서울 노원구을,68669.0,69562.0,21276.0,1932.0,139.0,230.0,127.0
서울 은평구을,61446.0,66832.0,18297.0,1821.0,123.0,233.0,133.0
서울 서대문구을,41714.0,53927.0,13088.0,1163.0,90.0,152.0,101.0
서울 마포구을,51900.0,58291.0,15880.0,1687.0,128.0,212.0,108.0
서울 종로구,48664.0,52381.0,11837.0,1304.0,110.0,177.0,122.0
서울 중구,29633.0,36072.0,8452.0,640.0,95.0,109.0,92.0
서울 용산구,61050.0,60486.0,15764.0,1397.0,125.0,202.0,162.0
서울 성동구갑,39386.0,48414.0,13591.0,1033.0,120.0,134.0,103.0
서울 광진구갑,45777.0,47699.0,14562.0,1164.0,110.0,155.0,91.0
서울 동대문구갑,46113.0,52483.0,15220.0,1509.0,123.0,163.0,128.0
서울 중랑구갑,38240.0,49051.0,16507.0,1009.0,101.0,185.0,125.0
서울 성북구갑,57316.0,63323.0,16707.0,1724.0,125.0,186.0,160.0
서울 강북구갑,42968.0,49715.0,14440.0,1267.0,112.0,171.0,129.0
서울 도봉구갑,41458.0,44382.0,13475.0,1154.0,87.0,113.0,73.0
서울 노원구갑,65998.0,67875.0,21755.0,1689.0,154.0,284.0,195.0
서울 은평구갑,48533.0,61449.0,15938.0,1384.0,115.0,206.0,100.0
서울 서대문구갑,40592.0,44268.0,10515.0,1336.0,91.0,165.0,105.0
서울 마포구갑,41390.0,44249.0,12279.0,1308.0,107.0,136.0,110.0
서울 양천구갑,65067.0,55064.0,16004.0,1533.0,105.0,207.0,91.0
서울 양천구을,43493.0,62516.0,19176.0,1227.0,107.0,183.0,119.0
서울 강서구갑,45323.0,52389.0,15263.0,1287.0,81.0,150.0,106.0
서울 강서구을,70392.0,70847.0,25643.0,1725.0,201.0,271.0,164.0
서울 구로구갑,45171.0,48655.0,18035.0,1340.0,130.0,200.0,127.0
서울 구로구을,32992.0,50461.0,13765.0,1218.0,98.0,223.0,95.0
서울 금천구,50130.0,73279.0,22833.0,1701.0,147.0,250.0,153.0
서울 영등포구갑,42815.0,44291.0,13842.0,1205.0,96.0,159.0,96.0
서울 영등포구을,51527.0,59354.0,16648.0,1439.0,115.0,181.0,113.0
서울 동작구갑,52281.0,59326.0,15945.0,1670.0,107.0,252.0,104.0
서울 동작구을,47959.0,59366.0,14091.0,1755.0,112.0,217.0,102.0
서울 관악구갑,49131.0,78196.0,17613.0,2244.0,122.0,241.0,107.0
서울 관악구을,57597.0,82855.0,21902.0,2763.0,163.0,258.0,123.0
서울 서초구갑,60717.0,40841.0,8735.0,1211.0,80.0,105.0,51.0
서울 서초구을,59351.0,47728.0,11662.0,1283.0,105.0,207.0,74.0
서울 강남구갑,87111.0,56267.0,13018.0,1723.0,106.0,200.0,97.0
