지역,선거인수,투표수,한나라당 이회창,새천년민주당 노무현,하나로국민연합 이한동,민주노동당 권영길,사회당 김영규,호국당 김길수,계,무효,기권
서울 종로구,140105,99988,45901,49989,304,2995,71,121,99381,607,40117
서울 중구,108936,76499,33712,39876,164,2073,66,101,75992,507,32437
서울 용산구,184276,127810,61349,61437,309,3711,108,148,127062,748,56466
서울 성동구,259347,184926,78942,98555,362,5547,128,195,183729,1197,74421
서울 광진구,289184,205052,87847,108990,383,6427,156,221,204024,1028,84132
서울 동대문구,294608,208980,91488,108305,498,6799,225,275,207590,1390,85628
서울 중랑구,327719,226747,97879,118606,648,7673,176,300,225282,1465,100972
서울 성북구,342157,243220,103223,129233,598,8054,243,318,241669,1551,98937
서울 강북구,276981,193039,76577,107567,503,6668,169,269,191753,1286,83942
서울 도봉구,269311,194110,86919,98070,606,7069,154,206,193024,1086,75201
서울 노원구,460763,340150,151666,171726,951,13175,302,364,338184,1966,120613
서울 은평구,352955,246107,104156,131386,618,8002,222,288,244672,1435,106848
서울 서대문구,277263,198125,83965,105774,466,6431,152,233,197021,1104,79138
서울 마포구,289944,205497,89897,106597,458,6874,183,254,204263,1234,84447
서울 양천구,347475,250819,113066,127505,496,8137,181,271,249656,1163,96656
서울 강서구,387875,274071,120684,140974,642,9621,263,358,272542,1529,113804
서울 구로구,310599,223948,95766,117572,502,8226,205,267,222538,1410,86651
서울 금천구,193706,134758,53630,74708,310,4961,134,218,133961,797,58948
서울 영등포구,309762,219866,99006,111427,490,7158,181,254,218516,1350,89896
서울 동작구,311093,227072,96820,120567,484,7557,223,261,225912,1160,84021
서울 관악구,408260,295213,108832,170954,613,11581,329,398,292707,2506,113047
서울 서초구,296266,215740,119952,88629,487,5425,165,176,214834,906,80526
서울 강남구,404458,287372,164486,113399,569,7227,202,261,286144,1228,117086
서울 송파구,475764,344824,165335,166340,687,10145,253,366,343126,1698,130940
서울 강동구,351875,251782,116278,124771,576,8254,215,314,250408,1374,100093
부산 중구,44710,31231,21863,8271,29,780,17,36,30996,235,13479
부산 서구,116112,80008,55480,21427,106,2118,60,88,79279,729,36104
부산 동구,96432,68419,47735,17906,101,1998,53,70,67863,556,28013
부산 영도구,135430,93262,58857,30434,97,2882,72,116,92458,804,42168
부산 부산진구,320389,232305,155659,67208,231,6932,159,285,230474,1831,88084
부산 동래구,217906,158362,109620,42490,167,4794,97,144,157312,1050,59544
부산 남구,232159,167543,112546,48196,152,5291,104,174,166463,1080,64616
부산 북구,223961,159046,98842,53360,168,5324,106,140,157940,1106,64915
부산 해운대구,289413,204777,134675,61935,223,6461,133,160,203587,1190,84636
부산 기장군,56676,40095,25782,12152,71,1528,30,62,39625,470,16581
부산 사하구,275788,193956,126980,59075,204,6066,154,196,192675,1281,81832
부산 금정구,208628,150296,101690,41976,163,5103,106,168,149206,1090,58332
부산 강서구,45479,31242,19451,10581,46,719,22,43,30862,380,14237
부산 연제구,172800,125394,84843,35481,107,4005,98,126,124660,734,47406
부산 수영구,137570,98422,68105,26683,116,2670,67,87,97728,694,39148
부산 사상구,212689,149134,92146,50771,167,4610,102,169,147965,1169,63555
대구 중구,69850,49366,39356,8209,71,1225,34,42,48937,429,20484
대구 동구,250266,175876,133296,34553,253,5797,109,189,174197,1679,74390
대구 서구,205066,139670,108754,24715,190,4276,99,161,138195,1475,65396
대구 남구,147500,102312,80232,18063,123,2912,60,83,101473,839,45188
대구 북구,305481,218258,166058,42417,295,7320,133,226,216449,1809,87223
대구 수성구,319947,235138,185389,40686,285,6790,147,232,233529,1609,84809
대구 달서구,419981,301472,232000,56290,363,10123,175,282,299233,2239,118509
대구 달성군,109071,77876,57079,15812,119,3731,53,102,76896,980,31195
인천 중구,58935,38745,19378,17064,127,1685,54,73,38381,364,20190
인천 동구,56412,38745,18300,17552,166,2191,64,87,38360,385,17667
인천 남구,322437,213623,100004,100624,687,10114,323,364,212116,1507,108814
인천 연수구,175093,123138,60781,54792,277,6336,139,126,122451,687,51955
인천 남동구,285992,193509,82816,98802,520,9512,261,293,192204,1305,92483
인천 부평구,395723,269146,113642,138947,689,13418,330,421,267447,1699,126577
인천 계양구,228023,155807,63010,83602,364,7617,175,204,154972,835,72216
인천 서구,239249,158679,64827,82918,477,8934,195,247,157598,1081,80570
인천 강화군,51816,36891,19818,14475,254,1586,62,127,36322,569,14925
인천 옹진군,11225,8164,4629,2990,39,262,9,36,7965,199,3061
광주 동구,89893,68511,3534,63650,100,568,41,135,68028,483,21382
광주 서구,210335,166851,6066,158220,147,1424,59,175,166091,760,43484
광주 남구,160162,124546,4353,118176,146,986,44,170,123875,671,35616
광주 북구,327178,254406,8498,241808,256,2284,101,265,253212,1194,72772
광주 광산구,179654,141084,4418,133328,154,1981,60,269,140210,874,38570
대전 동구,180038,116648,42817,66942,460,4707,157,335,115418,1230,63390
대전 중구,195602,130619,52260,71224,458,5236,140,288,129606,1013,64983
대전 서구,339741,232732,98176,122397,659,9442,220,389,231283,1449,107009
