지역,한나라당 이회창,새천년민주당 노무현,하나로국민연합 이한동,민주노동당 권영길,사회당 김영규,호국당 김길수
서울 종로구,45901,49989,304,2995,71,121
서울 중구,33712,39876,164,2073,66,101
서울 용산구,61349,61437,309,3711,108,148
서울 성동구,78942,98555,362,5547,128,195
서울 광진구,87847,108990,383,6427,156,221
서울 동대문구,91488,108305,498,6799,225,275
서울 중랑구,97879,118606,648,7673,176,300
서울 성북구,103223,129233,598,8054,243,318
서울 강북구,76577,107567,503,6668,169,269
서울 도봉구,86919,98070,606,7069,154,206
서울 노원구,151666,171726,951,13175,302,364
서울 은평구,104156,131386,618,8002,222,288
서울 서대문구,83965,105774,466,6431,152,233
서울 마포구,89897,106597,458,6874,183,254
서울 양천구,113066,127505,496,8137,181,271
서울 강서구,120684,140974,642,9621,263,358
서울 구로구,95766,117572,502,8226,205,267
서울 금천구,53630,74708,310,4961,134,218
서울 영등포구,99006,111427,490,7158,181,254
서울 동작구,96820,120567,484,7557,223,261
서울 관악구,108832,170954,613,11581,329,398
서울 서초구,119952,88629,487,5425,165,176
서울 강남구,164486,113399,569,7227,202,261
서울 송파구,165335,166340,687,10145,253,366
서울 강동구,116278,124771,576,8254,215,314
부산 중구,21863,8271,29,780,17,36
부산 서구,55480,21427,106,2118,60,88
부산 동구,47735,17906,101,1998,53,70
부산 영도구,58857,30434,97,2882,72,116
부산 부산진구,155659,67208,231,6932,159,285
부산 동래구,109620,42490,167,4794,97,144
부산 남구,112546,48196,152,5291,104,174
부산 북구,98842,53360,168,5324,106,140
부산 해운대구,134675,61935,223,6461,133,160
부산 기장군,25782,12152,71,1528,30,62
부산 사하구,126980,59075,204,6066,154,196
부산 금정구,101690,41976,163,5103,106,168
부산 강서구,19451,10581,46,719,22,43
부산 연제구,84843,35481,107,4005,98,126
부산 수영구,68105,26683,116,2670,67,87
부산 사상구,92146,50771,167,4610,102,169
대구 중구,39356,8209,71,1225,34,42
대구 동구,133296,34553,253,5797,109,189
대구 서구,108754,24715,190,4276,99,161
대구 남구,80232,18063,123,2912,60,83
대구 북구,166058,42417,295,7320,133,226
대구 수성구,185389,40686,285,6790,147,232
대구 달서구,232000,56290,363,10123,175,282
대구 달성군,57079,15812,119,3731,53,102
인천 중구,19378,17064,127,1685,54,73
인천 동구,18300,17552,166,2191,64,87
인천 남구,100004,100624,687,10114,323,364
인천 연수구,60781,54792,277,6336,139,126
인천 남동구,82816,98802,520,9512,261,293
인천 부평구,113642,138947,689,13418,330,421
인천 계양구,63010,83602,364,7617,175,204
인천 서구,64827,82918,477,8934,195,247
인천 강화군,19818,14475,254,1586,62,127
인천 옹진군,4629,2990,39,262,9,36
광주 동구,3534,63650,100,568,41,135
광주 서구,6066,158220,147,1424,59,175
광주 남구,4353,118176,146,986,44,170
광주 북구,8498,241808,256,2284,101,265
광주 광산구,4418,133328,154,1981,60,269
대전 동구,42817,66942,460,4707,157,335
대전 중구,52260,71224,458,5236,140,288
대전 서구,98176,122397,659,9442,220,389
대전 유성구,35618,47621,233,4550,88,166
대전 대덕구,37889,60862,347,5793,142,230
울산 중구,65005,35523,297,11481,139,159
울산 남구,96671,53179,260,13787,120,211
울산 동구,32595,42803,181,13538,97,138
울산 북구,25163,19950,86,12903,68,69
울산 울주군,48303,27129,173,6077,78,139
경기 수원시장안구,75858,82747,458,8707,139,235
경기 수원시권선구,67993,75989,557,7551,131,247
경기 수원시팔달구,72994,79600,413,7181,116,226
경기 성남시수정구,45122,77373,325,4652,102,219
경기 성남시중원구,45888,79181,365,5060,94,233
경기 성남시분당구,119039,89136,476,6490,115,185
경기 의정부시,80852,93661,1375,7655,132,265
경기 안양시만안구,58106,71073,363,5625,140,213
경기 안양시동안구,78117,82580,384,6371,135,197
경기 부천시원미구,85718,110141,468,8066,176,266
경기 부천시소사구,41314,54266,244,4088,103,127
경기 부천시오정구,32014,51203,247,3241,67,152
경기 광명시,68831,96739,429,7174,126,244
경기 평택시,74716,80307,576,13750,162,399
경기 동두천시,16498,17119,367,1389,51,79
경기 양주군,29451,34129,619,2713,63,151
경기 안산시상록구,57532,83368,363,6706,107,197
경기 안산시단원구,49064,70948,346,6526,103,183
경기 고양시덕양구,83298,95339,688,7120,145,229
경기 고양시일산구,109247,104866,691,7879,132,216
경기 과천시,18380,17345,77,1502,31,36
경기 의왕시,29652,33486,177,2934,57,83
