지역,선거인수,투표수,대통합민주신당 정동영,한나라당 이명박,민주노동당 권영길,민주당 이인제,창조한국당 문국현,참주인연합 정근모,겅제공화당 허경영,새시대참사람연합 전관,한국사회당 금민,무소속 이회창,계,무효,기권
서울 종로구,133946,85480,21515,45172,1889,398,5722,56,331,13,77,9984,85157,323,48466
서울 중구,106837,66496,17299,35335,1387,328,4324,33,240,9,52,7278,66285,211,40341
서울 용산구,190910,117051,25967,66096,2358,532,7544,78,486,12,77,13554,116704,347,73859
서울 성동구,266124,165391,41902,88602,3811,894,11330,100,727,38,118,17389,164911,480,100733
서울 광진구,297332,183412,46597,94864,4159,845,14052,106,943,33,114,21275,182988,424,113920
서울 동대문구,304410,190407,49064,100709,4443,910,12660,79,826,41,138,20931,189801,606,114003
서울 중랑구,337898,204119,54085,105608,4913,961,13083,89,1066,31,150,23503,203489,630,133779
서울 성북구,373761,235180,60790,123186,5597,1062,17007,147,958,30,193,25572,234542,638,138581
서울 강북구,277954,168236,47290,85791,4278,1039,10913,91,770,36,121,17373,167702,534,109718
서울 도봉구,293138,188015,46515,99596,4563,842,13355,88,795,42,101,21578,187475,540,105123
서울 노원구,466884,306503,76021,157439,8445,1351,22951,207,1274,77,213,37607,305585,918,160381
서울 은평구,362685,218004,59909,108240,5069,1127,15139,127,1020,51,183,26376,217241,763,144681
서울 서대문구,278848,174263,46522,87645,4364,828,12833,118,752,24,135,20548,173769,494,104585
서울 마포구,315333,194947,49343,97347,5627,863,16037,120,889,35,218,23936,194415,532,120386
서울 양천구,378841,241697,59636,127919,5232,966,16751,156,1011,46,137,29211,241065,632,137144
서울 강서구,436622,272240,68471,138876,6363,1335,20464,189,1440,51,169,33701,271059,1181,164382
서울 구로구,333323,211497,55683,102968,5587,1169,16083,110,1021,31,143,28102,210897,600,121826
서울 금천구,196513,118869,34966,55968,3289,767,7597,64,545,28,90,15140,118454,415,77644
서울 영등포구,325884,206002,51008,106558,4716,962,14819,124,873,44,138,26129,205371,631,119882
서울 동작구,326851,209902,53613,106067,4988,1010,16943,144,980,49,145,25411,209350,552,116949
서울 관악구,439707,268101,77804,121270,8362,1695,23536,167,1321,56,247,32942,267400,701,171606
서울 서초구,320018,212282,34112,136443,2969,582,13223,133,700,15,124,23535,211836,446,107736
서울 강남구,442286,283231,41493,187778,3806,722,16465,177,989,23,142,31023,282618,613,159055
서울 송파구,483567,313620,66697,180704,5499,1100,20642,162,1344,53,162,36436,312799,821,169947
서울 강동구,362024,231077,51510,128981,4630,926,15308,148,1104,43,114,27692,230456,621,130947
부산 중구,42111,25584,3226,15672,516,65,1208,9,89,6,15,4658,25464,120,16527
부산 서구,109489,65288,8314,39620,1566,169,3025,31,251,19,48,11967,65010,278,44201
부산 동구,87511,54017,6780,31708,1384,150,2402,21,242,11,33,11067,53798,219,33494
부산 영도구,127967,75664,13008,41811,2481,221,3613,40,284,23,38,13807,75326,338,52303
부산 부산진구,324855,200613,26287,115334,5511,558,10608,81,834,40,133,40587,199973,640,124242
부산 동래구,225283,144883,16957,86308,3669,313,7919,53,630,23,123,28480,144475,408,80400
부산 남구,237462,148749,19494,86574,4181,367,7962,50,576,34,89,28994,148321,428,88713
부산 북구,247521,154739,22441,84137,4895,433,8836,81,709,36,116,32511,154195,544,92782
부산 해운대구,322575,202750,26921,118502,5531,441,11234,106,747,44,125,38551,202202,548,119825
부산 기장군,62272,38759,4951,22799,1311,99,1684,25,165,12,16,7513,38575,184,23513
부산 사하구,283276,171149,24215,98782,4806,446,9619,63,699,43,122,31723,170518,631,112127
부산 금정구,206527,131508,15925,77336,3704,329,7393,63,585,35,91,25631,131092,416,75019
부산 강서구,43825,25623,3700,14549,722,99,994,20,95,5,14,5237,25435,188,18202
부산 연제구,169739,108433,13445,63080,2905,244,6072,37,504,21,84,21688,108080,353,61306
부산 수영구,144300,91170,10807,54832,2069,206,4961,32,395,18,54,17574,90948,222,53130
부산 사상구,208350,126302,20237,67671,3650,459,6755,58,546,36,97,26331,125840,462,82048
대구 중구,66234,43459,2502,30882,706,57,1525,22,104,4,31,7469,43302,157,22775
대구 동구,265762,176279,11357,120170,3560,299,7046,70,486,38,102,32448,175576,703,89483
대구 서구,190185,120295,6600,83998,2087,188,3907,31,302,26,86,22579,119804,491,69890
대구 남구,146210,92611,5457,63764,1661,138,3455,24,281,14,71,17395,92260,351,53599
대구 북구,341870,229360,14386,156772,4868,330,9990,46,629,31,113,41470,228635,725,112510
대구 수성구,330137,230474,12665,164557,3851,241,9423,62,562,35,116,38408,229920,554,99663
대구 달서구,437650,296170,17634,203226,6227,413,12318,83,796,48,162,54434,295341,829,141480
대구 달성군,118818,79321,5331,53350,2817,181,2850,29,215,25,46,13996,78840,481,39497
인천 중구,71324,41139,8755,21199,1381,256,2726,33,194,10,29,6347,40930,209,30185
인천 동구,59570,37098,8265,17655,1597,269,2497,28,179,16,36,6343,36885,213,22472
인천 남구,326395,190852,41666,95605,6032,1174,13493,96,919,39,176,30906,190106,746,135543
인천 연수구,195285,125814,25170,66280,4230,578,9380,88,512,23,93,19081,125435,379,69471
인천 남동구,317999,192315,45763,93371,6486,1225,13906,128,921,54,179,29562,191595,720,125684
인천 부평구,430072,258527,65803,122367,9702,1578,18371,181,1198,64,208,38072,257544,983,171545
인천 계양구,248876,147573,39757,67374,5112,897,10932,98,739,41,146,21942,147038,535,101303
인천 서구,286985,170454,43355,81884,6216,1157,11638,96,807,41,159,24462,169815,639,116531
인천 강화군,55196,36766,6166,22075,1070,388,1488,40,219,26,31,4975,36478,288,18430
인천 옹진군,14172,9682,1865,5473,243,90,383,9,81,9,11,1367,9531,151,4490
광주 동구,90124,55737,43391,5450,834,839,2596,30,142,15,19,2206,55522,215,34387
광주 서구,222662,144859,114717,13004,2882,1374,7057,76,329,14,59,4993,144505,354,77803
광주 남구,158988,101716,80271,9616,1555,1318,4779,51,235,14,39,3609,101487,229,57272
광주 북구,344625,220888,176435,18291,4149,2236,10931,146,512,25,106,7502,220333,555,123737
광주 광산구,214934,140138,112774,10514,4177,1351,6161,95,329,28,66,4210,139705,433,74796
대전 동구,191518,113405,29102,37863,2853,1464,6921,88,426,44,130,33970,112861,544,78113
대전 중구,204994,126057,28964,46023,2774,1445,7841,81,457,34,110,37915,125644,413,78937
대전 서구,368547,230752,51476,86050,5088,2309,16487,132,744,57,235,67522,230100,652,137795
대전 유성구,176526,114086,26382,43017,3264,874,10644,91,372,26,103,28974,113747,339,62440
대전 대덕구,157392,95964,23776,33055,3228,1131,6250,75,357,43,105,27576,95596,368,61428
