지역,대통합민주신당 정동영,한나라당 이명박,민주노동당 권영길,민주당 이인제,창조한국당 문국현,참주인연합 정근모,겅제공화당 허경영,새시대참사람연합 전관,한국사회당 금민,무소속 이회창
서울 종로구,21515,45172,1889,398,5722,56,331,13,77,9984
서울 중구,17299,35335,1387,328,4324,33,240,9,52,7278
서울 용산구,25967,66096,2358,532,7544,78,486,12,77,13554
서울 성동구,41902,88602,3811,894,11330,100,727,38,118,17389
서울 광진구,46597,94864,4159,845,14052,106,943,33,114,21275
서울 동대문구,49064,100709,4443,910,12660,79,826,41,138,20931
서울 중랑구,54085,105608,4913,961,13083,89,1066,31,150,23503
서울 성북구,60790,123186,5597,1062,17007,147,958,30,193,25572
서울 강북구,47290,85791,4278,1039,10913,91,770,36,121,17373
서울 도봉구,46515,99596,4563,842,13355,88,795,42,101,21578
서울 노원구,76021,157439,8445,1351,22951,207,1274,77,213,37607
서울 은평구,59909,108240,5069,1127,15139,127,1020,51,183,26376
서울 서대문구,46522,87645,4364,828,12833,118,752,24,135,20548
서울 마포구,49343,97347,5627,863,16037,120,889,35,218,23936
서울 양천구,59636,127919,5232,966,16751,156,1011,46,137,29211
서울 강서구,68471,138876,6363,1335,20464,189,1440,51,169,33701
서울 구로구,55683,102968,5587,1169,16083,110,1021,31,143,28102
서울 금천구,34966,55968,3289,767,7597,64,545,28,90,15140
서울 영등포구,51008,106558,4716,962,14819,124,873,44,138,26129
서울 동작구,53613,106067,4988,1010,16943,144,980,49,145,25411
서울 관악구,77804,121270,8362,1695,23536,167,1321,56,247,32942
서울 서초구,34112,136443,2969,582,13223,133,700,15,124,23535
서울 강남구,41493,187778,3806,722,16465,177,989,23,142,31023
서울 송파구,66697,180704,5499,1100,20642,162,1344,53,162,36436
서울 강동구,51510,128981,4630,926,15308,148,1104,43,114,27692
부산 중구,3226,15672,516,65,1208,9,89,6,15,4658
부산 서구,8314,39620,1566,169,3025,31,251,19,48,11967
부산 동구,6780,31708,1384,150,2402,21,242,11,33,11067
부산 영도구,13008,41811,2481,221,3613,40,284,23,38,13807
부산 부산진구,26287,115334,5511,558,10608,81,834,40,133,40587
부산 동래구,16957,86308,3669,313,7919,53,630,23,123,28480
부산 남구,19494,86574,4181,367,7962,50,576,34,89,28994
부산 북구,22441,84137,4895,433,8836,81,709,36,116,32511
부산 해운대구,26921,118502,5531,441,11234,106,747,44,125,38551
부산 기장군,4951,22799,1311,99,1684,25,165,12,16,7513
부산 사하구,24215,98782,4806,446,9619,63,699,43,122,31723
부산 금정구,15925,77336,3704,329,7393,63,585,35,91,25631
부산 강서구,3700,14549,722,99,994,20,95,5,14,5237
