지역,선거인수,투표수,새누리당 박근혜,민주통합당 문재인,무소속 박종선,무소속 김소연,무소속 강지원,무소속 김순자,계,무효,기권
서울 종로구,141447.0,103189.0,49422.0,52747.0,73.0,86.0,211.0,97.0,102636.0,553.0,38258.0
서울 중구,115277.0,83095.0,40289.0,41919.0,67.0,56.0,151.0,71.0,82553.0,542.0,32182.0
서울 용산구,206665.0,147849.0,76997.0,69572.0,87.0,96.0,261.0,121.0,147134.0,715.0,58816.0
서울 성동구,249514.0,185566.0,88658.0,95239.0,112.0,113.0,315.0,159.0,184596.0,970.0,63948.0
서울 광진구,307590.0,231171.0,106675.0,122537.0,118.0,131.0,385.0,200.0,230046.0,1125.0,76419.0
서울 동대문구,305303.0,227177.0,107972.0,116909.0,164.0,151.0,398.0,196.0,225790.0,1387.0,78126.0
서울 중랑구,348329.0,253369.0,121391.0,129630.0,152.0,138.0,364.0,255.0,251930.0,1439.0,94960.0
서울 성북구,396699.0,295525.0,134557.0,158429.0,174.0,181.0,459.0,251.0,294051.0,1474.0,101174.0
서울 강북구,286118.0,207927.0,94479.0,111470.0,169.0,110.0,341.0,171.0,206740.0,1187.0,78191.0
서울 도봉구,296521.0,225230.0,106942.0,116266.0,128.0,150.0,404.0,193.0,224083.0,1147.0,71291.0
서울 노원구,473741.0,368003.0,170114.0,194546.0,220.0,203.0,689.0,326.0,366098.0,1905.0,105738.0
서울 은평구,409466.0,300923.0,135878.0,162177.0,213.0,212.0,543.0,270.0,299293.0,1630.0,108543.0
서울 서대문구,261540.0,196130.0,88811.0,105412.0,156.0,147.0,378.0,154.0,195058.0,1072.0,65410.0
서울 마포구,319501.0,243026.0,106921.0,133849.0,114.0,246.0,460.0,262.0,241852.0,1174.0,76475.0
서울 양천구,390352.0,298957.0,141933.0,154539.0,164.0,152.0,576.0,248.0,297612.0,1345.0,91395.0
서울 강서구,463571.0,350023.0,162212.0,184866.0,173.0,186.0,617.0,317.0,348371.0,1652.0,113548.0
서울 구로구,350373.0,269094.0,123106.0,143695.0,151.0,182.0,439.0,249.0,267822.0,1272.0,81279.0
서울 금천구,202808.0,147632.0,66316.0,79933.0,97.0,112.0,213.0,132.0,146803.0,829.0,55176.0
서울 영등포구,327297.0,245975.0,118167.0,125657.0,134.0,149.0,498.0,210.0,244815.0,1160.0,81322.0
서울 동작구,338206.0,260307.0,117538.0,140437.0,154.0,143.0,514.0,227.0,259013.0,1294.0,77899.0
서울 관악구,446910.0,333640.0,134105.0,196560.0,201.0,260.0,630.0,287.0,332043.0,1597.0,113270.0
서울 서초구,352640.0,270848.0,158112.0,110649.0,68.0,129.0,680.0,147.0,269785.0,1063.0,81792.0
서울 강남구,461592.0,343220.0,205563.0,134880.0,111.0,142.0,829.0,234.0,341759.0,1461.0,118372.0
서울 송파구,545369.0,419631.0,217650.0,198590.0,194.0,177.0,897.0,304.0,417812.0,1819.0,125738.0
서울 강동구,397018.0,300362.0,150764.0,147131.0,165.0,141.0,577.0,226.0,299004.0,1358.0,96656.0
부산 중구,42123.0,29939.0,19208.0,10567.0,5.0,10.0,34.0,29.0,29853.0,86.0,12184.0
부산 서구,103696.0,75140.0,48129.0,26426.0,22.0,38.0,104.0,150.0,74869.0,271.0,28556.0
부산 동구,85145.0,62994.0,40262.0,22338.0,14.0,29.0,81.0,91.0,62815.0,179.0,22151.0
부산 영도구,119481.0,86765.0,50903.0,35314.0,16.0,38.0,91.0,106.0,86468.0,297.0,32716.0
부산 부산진구,328421.0,248245.0,146883.0,99987.0,68.0,118.0,289.0,265.0,247610.0,635.0,80176.0
부산 동래구,228712.0,178174.0,108913.0,68281.0,44.0,68.0,232.0,176.0,177714.0,460.0,50538.0
부산 남구,240343.0,184999.0,111763.0,72244.0,44.0,72.0,226.0,180.0,184529.0,470.0,55344.0
부산 북구,250964.0,196487.0,111611.0,83710.0,45.0,99.0,251.0,205.0,195921.0,566.0,54477.0
부산 해운대구,340520.0,260066.0,155263.0,103287.0,53.0,93.0,443.0,241.0,259380.0,686.0,80454.0
부산 기장군,89141.0,67694.0,41164.0,26084.0,17.0,24.0,77.0,83.0,67449.0,245.0,21447.0
부산 사하구,286161.0,215739.0,125432.0,89012.0,64.0,83.0,245.0,203.0,215039.0,700.0,70422.0
부산 금정구,212193.0,164536.0,100400.0,63126.0,50.0,75.0,235.0,177.0,164063.0,473.0,47657.0
부산 강서구,54683.0,41319.0,24560.0,16494.0,9.0,13.0,32.0,67.0,41175.0,144.0,13364.0
부산 연제구,174375.0,135450.0,81370.0,53294.0,27.0,57.0,210.0,142.0,135100.0,350.0,38925.0
부산 수영구,148960.0,113856.0,70198.0,43059.0,28.0,41.0,166.0,88.0,113580.0,276.0,35104.0
부산 사상구,206782.0,158296.0,88100.0,69288.0,49.0,55.0,162.0,186.0,157840.0,456.0,48486.0
대구 중구,64938.0,49463.0,39910.0,9282.0,10.0,14.0,47.0,73.0,49336.0,127.0,15475.0
대구 동구,280065.0,221271.0,176185.0,43659.0,68.0,95.0,294.0,302.0,220603.0,668.0,58794.0
대구 서구,185772.0,143549.0,120625.0,22092.0,37.0,56.0,152.0,226.0,143188.0,361.0,42223.0
대구 남구,143826.0,109075.0,88347.0,20092.0,30.0,47.0,156.0,162.0,108834.0,241.0,34751.0
대구 북구,347154.0,278722.0,220974.0,56240.0,52.0,101.0,368.0,326.0,278061.0,661.0,68432.0
대구 수성구,353557.0,286479.0,225052.0,60016.0,46.0,94.0,441.0,244.0,285893.0,586.0,67078.0
대구 달서구,472596.0,382874.0,304535.0,76363.0,82.0,163.0,427.0,407.0,381977.0,897.0,89722.0
대구 달성군,142838.0,114373.0,92161.0,21290.0,41.0,54.0,158.0,244.0,113948.0,425.0,28465.0
인천 중구,78606.0,55585.0,30613.0,24538.0,13.0,25.0,116.0,66.0,55371.0,214.0,23021.0
인천 동구,62787.0,46837.0,25911.0,20584.0,15.0,29.0,66.0,75.0,46680.0,157.0,15950.0
인천 남구,339766.0,243682.0,133464.0,108637.0,79.0,132.0,394.0,297.0,243003.0,679.0,96084.0
인천 연수구,224398.0,172068.0,91538.0,79429.0,52.0,80.0,315.0,163.0,171577.0,491.0,52330.0
인천 남동구,393970.0,293649.0,148815.0,143099.0,81.0,182.0,458.0,275.0,292910.0,739.0,100321.0
인천 부평구,445709.0,330418.0,159386.0,168820.0,104.0,242.0,553.0,357.0,329462.0,956.0,115291.0
인천 계양구,267899.0,197466.0,92670.0,103499.0,53.0,120.0,357.0,213.0,196912.0,554.0,70433.0
인천 서구,353650.0,262508.0,131340.0,129603.0,74.0,152.0,350.0,280.0,261799.0,709.0,91142.0
인천 강화군,57270.0,42705.0,29666.0,12534.0,26.0,29.0,84.0,125.0,42464.0,241.0,14565.0
인천 옹진군,17311.0,12903.0,9197.0,3470.0,11.0,14.0,37.0,59.0,12788.0,115.0,4408.0
광주 동구,88752.0,68402.0,6693.0,61023.0,105.0,39.0,112.0,47.0,68019.0,383.0,20350.0
광주 서구,239898.0,194600.0,15648.0,178033.0,40.0,56.0,210.0,116.0,194103.0,497.0,45298.0
광주 남구,171637.0,137610.0,11307.0,125439.0,27.0,48.0,191.0,83.0,137095.0,515.0,34027.0
광주 북구,344569.0,276928.0,20378.0,255181.0,44.0,114.0,344.0,153.0,276214.0,714.0,67641.0
광주 광산구,272925.0,220876.0,15548.0,204061.0,52.0,76.0,256.0,162.0,220155.0,721.0,52049.0
대전 동구,202718.0,150344.0,77725.0,71702.0,43.0,72.0,200.0,185.0,149927.0,417.0,52374.0
대전 중구,210394.0,159448.0,85297.0,73173.0,42.0,71.0,230.0,172.0,158985.0,463.0,50946.0
대전 서구,382855.0,293767.0,144068.0,148011.0,87.0,148.0,414.0,296.0,293024.0,743.0,89088.0
대전 유성구,225936.0,179329.0,81928.0,96401.0,55.0,92.0,282.0,147.0,178905.0,424.0,46607.0
대전 대덕구,160418.0,121479.0,61558.0,59023.0,44.0,78.0,165.0,169.0,121037.0,442.0,38939.0
울산 중구,185086.0,144599.0,90238.0,53304.0,41.0,74.0,148.0,285.0,144090.0,509.0,40487.0
울산 남구,269354.0,211458.0,129515.0,80536.0,52.0,88.0,291.0,361.0,210843.0,615.0,57896.0
울산 동구,137363.0,107305.0,58969.0,47401.0,40.0,81.0,150.0,266.0,106907.0,398.0,30058.0
울산 북구,134522.0,107875.0,57809.0,49202.0,28.0,119.0,148.0,219.0,107525.0,350.0,26647.0
울산 울주군,159736.0,123701.0,77446.0,45008.0,49.0,72.0,161.0,332.0,123068.0,633.0,36035.0
세종 세종특별자치시,87707.0,64990.0,33587.0,30787.0,31.0,38.0,99.0,155.0,64697.0,293.0,22717.0
경기 수원시장안구,225754.0,175095.0,85548.0,88360.0,45.0,96.0,375.0,168.0,174592.0,503.0,50659.0
경기 수원시권선구,258753.0,192297.0,94970.0,96064.0,57.0,109.0,330.0,183.0,191713.0,584.0,66456.0
경기 수원시팔달구,167784.0,121476.0,63522.0,57156.0,36.0,63.0,197.0,147.0,121121.0,355.0,46308.0
경기 수원시영통구,208298.0,165741.0,74873.0,89927.0,40.0,72.0,305.0,116.0,165333.0,408.0,42557.0
