지역,새누리당 박근혜,민주통합당 문재인,무소속 박종선,무소속 김소연,무소속 강지원,무소속 김순자
서울 종로구,49422.0,52747.0,73.0,86.0,211.0,97.0
서울 중구,40289.0,41919.0,67.0,56.0,151.0,71.0
서울 용산구,76997.0,69572.0,87.0,96.0,261.0,121.0
서울 성동구,88658.0,95239.0,112.0,113.0,315.0,159.0
서울 광진구,106675.0,122537.0,118.0,131.0,385.0,200.0
서울 동대문구,107972.0,116909.0,164.0,151.0,398.0,196.0
서울 중랑구,121391.0,129630.0,152.0,138.0,364.0,255.0
서울 성북구,134557.0,158429.0,174.0,181.0,459.0,251.0
서울 강북구,94479.0,111470.0,169.0,110.0,341.0,171.0
서울 도봉구,106942.0,116266.0,128.0,150.0,404.0,193.0
서울 노원구,170114.0,194546.0,220.0,203.0,689.0,326.0
서울 은평구,135878.0,162177.0,213.0,212.0,543.0,270.0
서울 서대문구,88811.0,105412.0,156.0,147.0,378.0,154.0
서울 마포구,106921.0,133849.0,114.0,246.0,460.0,262.0
서울 양천구,141933.0,154539.0,164.0,152.0,576.0,248.0
서울 강서구,162212.0,184866.0,173.0,186.0,617.0,317.0
서울 구로구,123106.0,143695.0,151.0,182.0,439.0,249.0
서울 금천구,66316.0,79933.0,97.0,112.0,213.0,132.0
서울 영등포구,118167.0,125657.0,134.0,149.0,498.0,210.0
서울 동작구,117538.0,140437.0,154.0,143.0,514.0,227.0
서울 관악구,134105.0,196560.0,201.0,260.0,630.0,287.0
서울 서초구,158112.0,110649.0,68.0,129.0,680.0,147.0
서울 강남구,205563.0,134880.0,111.0,142.0,829.0,234.0
서울 송파구,217650.0,198590.0,194.0,177.0,897.0,304.0
서울 강동구,150764.0,147131.0,165.0,141.0,577.0,226.0
부산 중구,19208.0,10567.0,5.0,10.0,34.0,29.0
부산 서구,48129.0,26426.0,22.0,38.0,104.0,150.0
부산 동구,40262.0,22338.0,14.0,29.0,81.0,91.0
부산 영도구,50903.0,35314.0,16.0,38.0,91.0,106.0
부산 부산진구,146883.0,99987.0,68.0,118.0,289.0,265.0
부산 동래구,108913.0,68281.0,44.0,68.0,232.0,176.0
부산 남구,111763.0,72244.0,44.0,72.0,226.0,180.0
부산 북구,111611.0,83710.0,45.0,99.0,251.0,205.0
부산 해운대구,155263.0,103287.0,53.0,93.0,443.0,241.0
부산 기장군,41164.0,26084.0,17.0,24.0,77.0,83.0
부산 사하구,125432.0,89012.0,64.0,83.0,245.0,203.0
부산 금정구,100400.0,63126.0,50.0,75.0,235.0,177.0
부산 강서구,24560.0,16494.0,9.0,13.0,32.0,67.0
부산 연제구,81370.0,53294.0,27.0,57.0,210.0,142.0
부산 수영구,70198.0,43059.0,28.0,41.0,166.0,88.0
부산 사상구,88100.0,69288.0,49.0,55.0,162.0,186.0
대구 중구,39910.0,9282.0,10.0,14.0,47.0,73.0
대구 동구,176185.0,43659.0,68.0,95.0,294.0,302.0
대구 서구,120625.0,22092.0,37.0,56.0,152.0,226.0
대구 남구,88347.0,20092.0,30.0,47.0,156.0,162.0
대구 북구,220974.0,56240.0,52.0,101.0,368.0,326.0
대구 수성구,225052.0,60016.0,46.0,94.0,441.0,244.0
대구 달서구,304535.0,76363.0,82.0,163.0,427.0,407.0
대구 달성군,92161.0,21290.0,41.0,54.0,158.0,244.0
인천 중구,30613.0,24538.0,13.0,25.0,116.0,66.0
인천 동구,25911.0,20584.0,15.0,29.0,66.0,75.0
인천 남구,133464.0,108637.0,79.0,132.0,394.0,297.0
인천 연수구,91538.0,79429.0,52.0,80.0,315.0,163.0
인천 남동구,148815.0,143099.0,81.0,182.0,458.0,275.0
인천 부평구,159386.0,168820.0,104.0,242.0,553.0,357.0
인천 계양구,92670.0,103499.0,53.0,120.0,357.0,213.0
인천 서구,131340.0,129603.0,74.0,152.0,350.0,280.0
인천 강화군,29666.0,12534.0,26.0,29.0,84.0,125.0
인천 옹진군,9197.0,3470.0,11.0,14.0,37.0,59.0
광주 동구,6693.0,61023.0,105.0,39.0,112.0,47.0
광주 서구,15648.0,178033.0,40.0,56.0,210.0,116.0
광주 남구,11307.0,125439.0,27.0,48.0,191.0,83.0
광주 북구,20378.0,255181.0,44.0,114.0,344.0,153.0
광주 광산구,15548.0,204061.0,52.0,76.0,256.0,162.0
대전 동구,77725.0,71702.0,43.0,72.0,200.0,185.0
대전 중구,85297.0,73173.0,42.0,71.0,230.0,172.0
