시도명,새누리당 박근혜,민주통합당 문재인,무소속 박종선,무소속 김소연,무소속 강지원,무소속 김순자
서울특별시,1576,1556,3,3,4,2
서울특별시,1355,1735,0,3,6,1
서울특별시,1272,1346,2,2,4,1
서울특별시,2176,1205,2,3,6,1
서울특별시,1099,909,0,1,9,2
서울특별시,1200,1239,1,2,4,1
서울특별시,1086,1058,2,3,3,2
서울특별시,1095,959,0,1,2,0
서울특별시,1291,910,0,3,10,1
서울특별시,2188,1230,1,3,8,1
서울특별시,1134,761,0,1,6,1
서울특별시,1110,889,0,0,4,2
서울특별시,1235,910,0,1,3,2
서울특별시,950,956,0,1,2,3
서울특별시,1552,1612,2,0,10,1
서울특별시,1360,1575,3,7,2,7
서울특별시,1024,1090,1,1,4,1
서울특별시,1665,1705,1,3,7,9
서울특별시,1205,842,4,1,5,2
서울특별시,1227,1115,3,3,5,2
서울특별시,821,747,0,2,4,0
서울특별시,894,1097,2,0,0,1
서울특별시,1204,1786,3,2,3,2
서울특별시,1114,1458,2,3,6,2
서울특별시,1143,1617,2,2,5,2
서울특별시,986,1308,2,0,6,1
서울특별시,1157,1304,1,5,5,3
서울특별시,716,1394,0,4,10,3
서울특별시,780,1105,1,4,7,4
서울특별시,496,487,2,0,5,2
서울특별시,1123,1531,5,1,7,3
서울특별시,658,948,0,2,7,0
서울특별시,1000,1378,3,0,1,1
서울특별시,890,1485,5,2,3,4
서울특별시,723,1058,2,1,2,1
서울특별시,1411,1780,3,2,5,2
서울특별시,1037,1178,1,1,1,4
서울특별시,840,1165,3,1,4,3
서울특별시,555,567,1,0,1,1
서울특별시,965,1209,3,3,3,2
서울특별시,842,1151,3,2,3,0
서울특별시,145,178,1,1,0,1
서울특별시,230,221,1,0,2,1
서울특별시,1467,1027,2,3,1,2
서울특별시,405,268,1,0,1,2
서울특별시,904,876,2,0,3,2
서울특별시,116,93,0,1,0,0
서울특별시,679,619,1,1,3,0
서울특별시,742,714,1,1,4,3
서울특별시,908,873,1,4,3,1
서울특별시,613,1039,0,1,4,0
서울특별시,845,755,0,0,4,0
서울특별시,953,758,3,2,2,2
서울특별시,377,195,0,1,0,1
서울특별시,292,251,1,0,1,1
서울특별시,907,1032,3,1,3,1
서울특별시,280,248,2,0,0,0
서울특별시,993,1023,1,1,6,0
서울특별시,1190,1294,1,5,1,3
서울특별시,1147,1305,1,2,3,1
서울특별시,981,1359,2,2,2,2
서울특별시,1029,1338,1,1,2,1
서울특별시,822,723,4,0,5,0
서울특별시,826,982,1,4,2,2
서울특별시,1443,1232,1,0,6,3
서울특별시,1469,1391,0,1,2,1
서울특별시,1267,1516,4,2,6,4
서울특별시,598,750,1,2,3,2
서울특별시,732,914,1,2,5,0
서울특별시,1165,1021,0,0,1,1
서울특별시,829,1109,2,0,5,2
서울특별시,1303,1287,0,3,5,4
서울특별시,775,900,2,2,2,3
서울특별시,1485,1721,1,0,8,3
서울특별시,519,587,1,0,3,4
