지역,더불어민주당 문재인,자유한국당 홍준표,국민의당 안철수,바른정당 유승민,정의당 심상정,새누리당 조원진,경제애국당 오영국,국민대통합당 장성민,늘푸른한국당 이재오,민중연합당 김선동,한국국민당 이경희,홍익당 윤홍식,무소속 김민찬
서울 종로구,42512.0,22325.0,22313.0,7412.0,7113.0,228.0,5.0,78.0,31.0,63.0,26.0,47.0,49.0
서울 중구,34062.0,17901.0,19372.0,5874.0,4993.0,158.0,12.0,53.0,21.0,55.0,18.0,25.0,51.0
서울 용산구,58081.0,35230.0,32109.0,11825.0,9773.0,299.0,17.0,68.0,23.0,72.0,32.0,51.0,80.0
서울 성동구,86686.0,40566.0,45674.0,15859.0,12936.0,304.0,16.0,94.0,46.0,108.0,41.0,58.0,124.0
서울 광진구,105512.0,46368.0,52824.0,17114.0,16540.0,312.0,24.0,120.0,48.0,127.0,48.0,65.0,129.0
서울 동대문구,98958.0,51631.0,53359.0,15129.0,15107.0,360.0,41.0,150.0,44.0,160.0,80.0,84.0,162.0
서울 중랑구,111450.0,56545.0,62778.0,15996.0,16817.0,373.0,34.0,155.0,74.0,152.0,65.0,90.0,215.0
서울 성북구,129263.0,57584.0,66518.0,19830.0,20519.0,407.0,34.0,190.0,55.0,172.0,65.0,107.0,178.0
서울 강북구,89645.0,42268.0,51669.0,11871.0,13482.0,324.0,34.0,145.0,45.0,123.0,53.0,93.0,150.0
서울 도봉구,94898.0,47461.0,55600.0,14500.0,14923.0,352.0,30.0,162.0,43.0,152.0,38.0,79.0,144.0
서울 노원구,158167.0,67590.0,96325.0,24846.0,24498.0,548.0,37.0,168.0,85.0,210.0,81.0,120.0,232.0
서울 은평구,140180.0,60109.0,72582.0,19447.0,21955.0,432.0,49.0,188.0,656.0,160.0,61.0,115.0,181.0
서울 서대문구,93768.0,40513.0,46237.0,14798.0,15165.0,336.0,25.0,110.0,72.0,119.0,27.0,64.0,125.0
서울 마포구,117336.0,46547.0,52545.0,19059.0,19795.0,381.0,26.0,134.0,38.0,108.0,47.0,86.0,131.0
서울 양천구,133853.0,60814.0,71816.0,22987.0,19309.0,422.0,32.0,194.0,60.0,121.0,61.0,88.0,183.0
서울 강서구,175882.0,76601.0,88128.0,27544.0,26001.0,569.0,56.0,248.0,77.0,215.0,60.0,142.0,284.0
서울 구로구,121077.0,59194.0,61734.0,17147.0,17437.0,373.0,45.0,141.0,57.0,165.0,56.0,98.0,190.0
서울 금천구,67423.0,31106.0,36695.0,8835.0,9698.0,165.0,24.0,125.0,37.0,117.0,39.0,61.0,128.0
서울 영등포구,105834.0,53615.0,53994.0,18122.0,15439.0,374.0,37.0,138.0,50.0,122.0,52.0,86.0,154.0
