지역,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,기본소득당 오준호,국가혁명당 허경영,노동당 이백윤,새누리당 옥은호,신자유민주연합 김경재,우리공화당 조원진,진보당 김재연,통일한국당 이경희,한류연합당 김민찬
서울 종로구,46130,49172,3115,53,558,42,9,50,82,105,20,30
서울 중구,38244,42906,2310,46,463,19,10,17,67,57,17,28
서울 용산구,60063,85047,4374,67,755,37,24,56,86,100,27,46
서울 성동구,84411,103880,5365,123,969,50,20,47,122,152,34,65
서울 광진구,109922,113733,7072,155,1416,52,36,62,180,172,38,80
서울 동대문구,108171,112890,6416,151,1304,44,32,55,184,232,80,78
서울 중랑구,130381,118201,6899,156,1961,59,30,73,236,292,60,75
서울 성북구,142702,135044,8952,169,1632,99,36,89,202,278,69,87
서울 강북구,103333,86540,5245,135,1518,69,29,52,173,249,61,73
서울 도봉구,106546,99780,5605,127,1457,53,46,48,136,239,41,77
서울 노원구,169275,163340,10021,207,1933,76,46,96,242,449,76,112
서울 은평구,161510,140666,9715,248,1934,117,49,71,252,293,76,89
서울 서대문구,100702,98924,6886,119,1070,57,30,38,153,263,47,63
서울 마포구,117916,124327,9308,180,1174,71,34,75,160,201,50,58
서울 양천구,138586,149780,7821,169,1646,75,39,81,213,181,55,94
서울 강서구,190000,181510,11100,242,2458,91,59,95,297,328,79,117
서울 구로구,133027,127129,7539,159,1713,59,33,75,193,325,54,89
서울 금천구,80208,69227,4278,106,1161,52,23,38,119,204,48,70
서울 영등포구,116443,134846,7627,134,1324,72,34,58,198,239,39,65
서울 동작구,122914,135733,7866,161,1380,56,35,85,140,221,51,66
서울 관악구,169284,151944,11245,309,2594,110,35,103,246,310,98,116
서울 서초구,88686,179472,5864,105,894,52,18,98,186,99,35,49
부산 중구,9929,16153,600,9,349,7,5,6,24,21,13,10
부산 서구,25154,41470,1508,40,713,22,13,18,52,72,19,31
부산 동구,21558,35081,1190,28,665,19,8,24,56,64,23,34
부산 영도구,29565,39058,1368,41,712,26,18,13,55,125,29,36
부산 부산진구,89233,133285,5214,137,2423,59,30,52,216,350,68,97
부산 동래구,65261,106515,4035,73,1683,41,28,47,147,245,31,68
부산 남구,64361,101749,3652,64,1515,43,23,43,156,251,46,53
부산 북구,74650,105576,4262,90,2065,63,37,47,198,204,51,114
부산 해운대구,92631,156792,5068,118,2157,60,35,61,212,291,48,94
부산 기장군,42955,58497,2253,54,1212,28,13,23,78,131,21,40
부산 사하구,78332,108983,4277,91,2304,49,34,45,156,254,62,102
부산 금정구,54772,93283,3500,97,1397,38,29,45,147,234,51,71
부산 강서구,36016,44889,1834,30,944,8,15,14,42,72,16,21
부산 연제구,51471,81889,3087,72,1198,19,16,31,108,209,20,44
부산 수영구,41801,71160,2617,49,1017,22,21,28,104,104,27,40
부산 사상구,54207,75692,3076,78,1636,42,27,30,116,172,50,87
대구 중구,10913,38288,981,42,392,21,9,17,99,22,8,26
대구 동구,52170,171004,4522,111,2122,40,37,69,433,152,78,83
대구 서구,19516,89620,1818,68,1172,28,20,22,236,79,57,46
대구 남구,19765,73865,1784,87,977,68,24,37,199,49,17,36
대구 북구,66469,215861,6090,155,2591,54,49,71,436,149,83,124
대구 수성구,59379,216031,5168,132,1848,37,33,89,385,127,57,88
대구 달서구,77951,275155,7361,180,3102,63,58,102,786,209,109,132
대구 달성군,38882,120064,3407,117,1737,33,31,44,250,151,63,84
인천 중구,43942,41805,2296,42,944,18,12,22,88,73,15,34
인천 동구,19195,19661,1196,32,346,11,4,6,44,48,17,19
인천 미추홀구,119287,121122,6951,154,2732,67,37,68,196,199,75,106
인천 연수구,111446,127768,6812,120,1456,62,22,40,133,136,48,72
인천 남동구,162476,150877,9232,215,2928,82,55,74,253,301,76,138
인천 부평구,159280,141072,8977,194,2718,91,44,77,263,298,94,131
인천 계양구,100532,83638,5502,124,1722,62,24,64,132,218,58,81
인천 서구,174908,154553,9594,197,3123,79,63,81,224,263,85,130
인천 강화군,17036,29267,988,22,513,23,11,12,34,39,32,32
인천 옹진군,5218,8797,304,16,251,13,4,5,11,18,11,15
광주 동구,60669,11036,1063,28,389,22,5,16,4,88,12,31
광주 서구,170357,26262,2961,68,1127,44,18,29,19,277,34,82
광주 남구,124572,19927,2073,63,811,32,17,19,24,171,40,73
광주 북구,249976,36421,4550,142,1896,65,26,45,34,350,51,104
광주 광산구,224484,30865,4218,133,1915,79,26,31,31,480,51,165
대전 동구,65555,70069,3603,103,1606,34,28,41,111,157,44,82
대전 중구,66698,77459,3782,68,1412,38,19,47,98,174,45,74
대전 서구,139877,150031,8427,173,2718,70,42,70,159,267,61,118
대전 유성구,108701,111342,6492,126,1599,44,31,44,124,187,63,63
대전 대덕구,54119,55159,3141,96,1258,37,18,25,96,173,45,58
울산 중구,54075,81399,3852,75,1702,44,19,38,156,394,50,65
울산 남구,77783,121304,5251,81,2274,58,34,43,189,444,54,86
울산 동구,44506,47065,3427,64,1597,88,17,30,71,473,32,46
울산 북구,64692,64597,5072,79,1806,67,15,21,113,491,44,53
울산 울주군,56078,81956,3690,76,1855,51,24,53,156,378,54,83
세종,119349,101491,6780,100,1594,50,23,48,121,181,66,88
경기 수원시장안구,91842,83470,4755,122,1320,27,27,38,170,188,46,68
경기 수원시권선구,121028,103154,5754,121,1981,55,42,63,187,218,48,99
경기 수원시팔달구,58024,56051,3003,63,1046,30,14,24,97,128,28,39
경기 수원시영통구,114418,114252,6385,131,1216,45,15,46,121,151,40,71
경기 성남시수정구,86224,68806,3128,57,904,22,19,38,109,318,19,66
경기 성남시중원구,80857,56072,2799,65,861,28,15,25,94,322,38,69
경기 성남시분당구,140966,183094,7005,105,1007,45,31,82,229,198,42,81
경기 의정부시,154851,127348,6788,152,2338,51,33,65,226,592,72,112
경기 안양시만안구,82650,73147,3901,72,1111,39,17,40,145,134,46,68
경기 안양시동안구,105221,102552,5574,72,1015,47,25,42,144,115,40,67
경기 부천시,285227,224331,13249,351,3817,126,76,125,323,515,118,218
경기 광명시,103470,87112,4746,98,1118,46,24,30,151,138,50,75
경기 평택시,166032,156630,7988,166,3791,108,47,71,220,525,87,140
경기 양주시,75236,63800,3162,65,1475,36,20,31,111,287,41,70
경기 동두천시,28495,26434,1125,26,647,14,11,22,61,141,24,32
경기 안산시상록구,121488,90654,5103,165,2092,60,32,48,152,237,58,106
경기 안산시단원구,103595,80605,4563,134,1715,55,29,35,136,183,41,84
경기 고양시덕양구,167037,139914,10643,165,1932,89,46,86,208,340,48,81
경기 고양시일산동구,96990,91849,5032,90,1120,51,12,53,120,133,24,49
경기 고양시일산서구,99597,89677,4975,108,1019,43,18,47,130,147,33,63
경기 과천시,21072,30934,1314,30,228,19,10,20,28,31,7,12
경기 의왕시,54997,53556,2717,52,636,30,22,15,77,84,17,35
경기 구리시,63465,58865,3023,36,878,31,18,32,107,117,28,54
경기 남양주시,239179,203075,10089,186,3326,100,56,107,322,388,97,156
경기 오산시,72877,55793,3352,65,1427,38,12,17,74,143,26,58
경기 화성시,283324,236055,12955,194,4007,100,58,90,223,399,117,177
경기 시흥시,178462,125544,7082,151,2682,47,51,50,218,285,57,136
경기 군포시,94891,80277,4593,79,1185,47,24,42,118,120,35,58
경기 하남시,101106,100088,4624,81,1025,39,27,35,114,156,37,39
경기 파주시,157155,126763,7176,154,2566,98,45,88,211,342,84,119
경기 여주시,30695,38731,1458,39,731,19,12,17,74,86,39,49
경기 이천시,63562,67726,2995,68,1354,34,21,36,77,154,47,64
경기 용인시처인구,80188,75105,3618,78,1532,33,27,44,105,162,46,69
경기 용인시수지구,113161,128995,5334,81,831,32,34,73,146,98,26,54
경기 용인시기흥구,143279,135606,6267,93,1477,40,31,75,150,188,37,84
경기 안성시,56723,54799,2892,87,1238,24,20,30,75,156,25,54
경기 김포시,153206,136814,6905,114,2175,54,31,73,197,227,79,78
경기 광주시,130220,105675,4596,99,1891,47,32,56,143,313,51,83
경기 포천시,44320,47306,1903,49,1056,26,17,22,113,158,43,50
경기 연천군,12013,15325,604,17,402,7,5,13,64,50,22,27
경기 양평군,34324,45487,1662,40,633,21,12,26,80,57,34,48
경기 가평군,16684,23870,872,30,402,16,6,18,47,44,30,30
강원 춘천시,82376,94926,5294,116,1775,83,27,26,98,202,58,67
강원 원주시,100954,113560,6105,143,2595,58,38,63,228,267,83,111
강원 강릉시,54377,80482,3434,80,1511,41,31,41,121,173,55,74
강원 동해시,22896,31739,1359,24,757,14,8,14,57,55,23,21
강원 삼척시,16297,25308,897,25,457,25,9,22,32,58,48,34
강원 태백시,10846,15101,489,11,295,8,1,5,21,24,18,18
강원 정선군,10103,13643,494,8,297,4,1,6,21,43,28,18
강원 속초시,21713,28342,1230,16,627,17,6,13,23,37,17,18
강원 고성군,7433,10840,427,8,216,5,2,3,10,20,18,18
강원 양양군,7343,11495,434,4,222,3,8,2,13,10,14,6
강원 인제군,8937,11591,501,20,333,4,4,8,14,36,14,25
강원 홍천군,18418,25851,1049,37,593,15,11,19,31,144,32,34
강원 횡성군,12557,18546,676,19,405,12,4,7,30,40,25,18
강원 영월군,10758,14904,536,13,309,14,2,13,39,43,27,15
강원 평창군,11463,16571,564,17,366,5,8,7,34,33,26,25
강원 화천군,6445,9009,433,12,283,6,6,4,18,26,7,18
강원 양구군,5689,7878,387,13,260,4,8,2,14,23,16,20
강원 철원군,11039,15194,722,16,367,5,7,7,20,26,16,20
충북 청주시상당구,55852,59685,3548,89,1267,61,23,34,87,112,45,73
충북 청주시서원구,56323,61745,3499,94,1240,54,34,24,66,123,41,64
충북 청주시흥덕구,76940,77952,4770,96,1745,41,28,33,94,140,59,63
충북 청주시청원구,56679,54855,3331,54,1283,35,20,31,94,123,56,70
충북 충주시,58801,70382,3270,75,1509,53,29,45,110,122,104,89
충북 제천시,36442,46482,1922,44,1000,28,14,15,93,97,83,74
충청 단양군,7271,11969,387,12,207,7,6,9,33,32,64,26
충북 영동군,12029,18238,664,11,347,20,4,14,26,49,33,24
충북 보은군,8757,12754,525,12,275,8,10,9,26,29,37,28
충북 옥천군,14138,18241,864,31,400,15,5,13,32,67,55,28
충북 음성군,26700,28700,1310,33,700,23,15,28,43,66,41,43
충북 진천군,25402,23759,1361,34,672,17,8,17,28,73,30,33
충북 괴산군,10304,15895,546,22,245,18,9,11,23,34,30,27
충북 증평군,10215,11264,560,7,275,5,8,5,24,16,20,11
충남 천안시서북구,115553,110141,6568,152,2673,59,32,39,134,200,63,122
충남 천안시동남구,71851,77739,4085,83,1775,48,22,38,97,150,47,88
충남 공주시,28472,37339,1423,43,695,21,6,16,57,89,48,42
충남 보령시,26207,36419,1367,37,655,28,14,18,55,103,59,70
충남 아산시,93262,89998,4976,104,2193,85,34,42,120,169,55,72
충남 서산시,48642,54892,2640,69,1264,61,19,21,69,111,59,73
충남 태안군,16678,23511,873,17,323,18,3,14,31,53,53,43
충남 금산군,14002,18178,647,26,331,8,7,14,23,49,42,37
충남 논산시,33822,36203,1601,35,788,17,12,22,67,113,81,47
충남 계룡시,11891,14718,799,22,243,5,4,14,13,32,4,14
충남 당진시,46903,49230,2258,35,1157,44,14,24,76,152,49,62
충남 부여군,16813,25136,878,28,438,19,4,17,34,103,57,43
충남 서천군,15443,18168,688,19,263,14,8,13,26,74,47,48
충남 홍성군,25860,33581,1536,28,611,28,6,9,38,65,60,49
충남 청양군,7688,12932,416,23,223,7,6,3,12,33,23,21
충남 예산군,16904,32098,1034,29,537,15,9,10,47,90,44,33
전북 전주시완산구,188693,35152,3907,98,1371,53,21,31,50,112,45,97
전북 전주시덕진구,175845,32731,4006,58,1370,48,10,27,40,139,33,97
전북 군산시,144395,27400,2613,80,1241,44,13,17,40,129,37,130
전북 익산시,154719,28076,3074,78,1335,45,24,32,46,153,47,153
전북 정읍시,63487,9085,1040,33,476,24,16,17,21,71,41,134
전북 남원시,47470,7163,731,40,366,39,13,9,18,47,35,128
전북 김제시,48952,7164,750,38,398,15,5,13,13,33,26,96
전북 완주군,52862,8443,1063,24,412,24,7,9,18,52,16,79
전북 진안군,15637,2572,264,9,93,10,2,6,7,13,20,47
전북 무주군,13292,3426,313,14,135,7,3,3,5,14,13,43
전북 장수군,13564,2063,222,13,114,9,4,3,3,14,8,61
전북 임실군,16930,2416,253,16,123,9,1,6,4,13,20,89
전북 순창군,16980,2211,230,12,106,14,3,4,7,38,20,62
전북 고창군,33000,4335,518,15,208,22,8,13,10,40,27,135
전북 부안군,31037,4572,467,14,227,14,5,9,17,28,21,113
전남 목포시,125790,14936,2021,69,997,45,14,19,20,156,24,98
