시도,구시군,읍면동명,투표구명,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당 
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬"
전국,합계,,,16147738,16394815,803358,18105,281481,9176,4970,8317,25972,37366,11708,17305
서울특별시,합계(특별시),,,2944981,3255747,180324,3829,36540,1571,844,1791,4657,5615,1333,1907
서울특별시,종로구,,관내사전투표,1758,1221,81,2,8,1,0,0,4,1,1,1
서울특별시,종로구,,청운효자동제1투,402,700,43,1,7,0,0,2,1,1,0,0
서울특별시,종로구,,청운효자동제2투,436,637,61,0,3,0,0,1,0,1,0,1
서울특별시,종로구,,청운효자동제3투,554,579,52,0,8,1,0,0,2,1,0,0
서울특별시,종로구,,관내사전투표,1360,1259,83,1,4,0,0,1,0,1,0,0
서울특별시,종로구,,사직동제1투,317,451,32,0,9,0,0,0,2,1,0,0
서울특별시,종로구,,사직동제2투,583,1572,97,2,9,0,1,1,2,2,0,0
서울특별시,종로구,,관내사전투표,376,299,25,0,5,0,0,0,1,0,0,0
서울특별시,종로구,,삼청동투표소,215,468,26,0,5,0,0,3,2,0,0,0
서울특별시,종로구,,관내사전투표,1283,1002,57,0,5,3,0,0,0,0,0,1
서울특별시,종로구,,부암동제1투,406,556,32,0,7,1,0,0,0,2,1,0
서울특별시,종로구,,부암동제2투,477,619,41,0,8,0,0,1,0,1,0,0
서울특별시,종로구,,부암동제3투,330,554,24,0,6,0,0,3,0,1,0,1
서울특별시,종로구,,관내사전투표,2011,2253,104,2,5,3,1,2,2,4,0,1
서울특별시,종로구,,평창동제1투,360,775,31,1,5,1,0,0,0,0,0,0
서울특별시,종로구,,평창동제2투,429,1233,30,0,9,0,0,1,0,1,0,0
서울특별시,종로구,,평창동제3투,348,771,37,1,6,3,0,2,0,1,0,0
서울특별시,종로구,,평창동제4투,395,611,36,0,8,0,0,1,5,3,0,1
서울특별시,종로구,,평창동제5투,323,605,28,1,2,0,0,0,1,2,0,0
서울특별시,종로구,,관내사전투표,1306,1178,63,2,4,0,0,0,0,1,0,1
서울특별시,종로구,,무악동제1투,365,636,44,1,2,0,0,0,0,0,2,0
