시도,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당 
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬"
서울특별시,2944981,3255747,180324,3829,36540,1571,844,1791,4657,5615,1333,1907
서울특별시,1758,1221,81,2,8,1,0,0,4,1,1,1
서울특별시,402,700,43,1,7,0,0,2,1,1,0,0
서울특별시,436,637,61,0,3,0,0,1,0,1,0,1
서울특별시,554,579,52,0,8,1,0,0,2,1,0,0
서울특별시,1360,1259,83,1,4,0,0,1,0,1,0,0
서울특별시,317,451,32,0,9,0,0,0,2,1,0,0
서울특별시,583,1572,97,2,9,0,1,1,2,2,0,0
서울특별시,376,299,25,0,5,0,0,0,1,0,0,0
서울특별시,215,468,26,0,5,0,0,3,2,0,0,0
서울특별시,1283,1002,57,0,5,3,0,0,0,0,0,1
서울특별시,406,556,32,0,7,1,0,0,0,2,1,0
서울특별시,477,619,41,0,8,0,0,1,0,1,0,0
서울특별시,330,554,24,0,6,0,0,3,0,1,0,1
서울특별시,2011,2253,104,2,5,3,1,2,2,4,0,1
서울특별시,360,775,31,1,5,1,0,0,0,0,0,0
서울특별시,429,1233,30,0,9,0,0,1,0,1,0,0
서울특별시,348,771,37,1,6,3,0,2,0,1,0,0
서울특별시,395,611,36,0,8,0,0,1,5,3,0,1
서울특별시,323,605,28,1,2,0,0,0,1,2,0,0
서울특별시,1306,1178,63,2,4,0,0,0,0,1,0,1
서울특별시,365,636,44,1,2,0,0,0,0,0,2,0
서울특별시,491,772,48,0,11,0,1,0,2,2,0,1
서울특별시,1415,1335,85,2,5,1,0,0,2,7,1,0
서울특별시,395,387,25,0,10,0,0,0,4,2,0,0
서울특별시,293,396,30,1,8,0,0,1,3,1,0,1
서울특별시,518,1158,53,0,5,0,0,1,0,1,1,0
서울특별시,793,586,55,0,3,0,0,0,0,4,0,1
서울특별시,459,657,49,2,7,1,0,2,2,0,1,1
서울특별시,753,743,28,0,3,0,0,0,0,1,0,0
서울특별시,270,522,25,0,10,0,0,0,2,0,1,0
서울특별시,445,646,28,2,4,0,1,1,0,3,2,0
서울특별시,668,608,30,0,6,0,0,1,1,0,0,0
서울특별시,310,485,32,0,5,0,0,0,1,0,0,0
서울특별시,327,367,14,0,12,0,0,0,0,0,0,2
서울특별시,1347,975,74,1,5,0,0,0,2,5,0,1
서울특별시,535,600,64,1,10,0,1,3,1,2,1,0
서울특별시,397,566,36,0,8,1,0,1,2,1,0,0
서울특별시,2357,1962,152,6,11,7,0,0,1,3,0,3
서울특별시,576,669,59,1,8,1,0,4,2,1,0,0
서울특별시,457,659,55,2,10,1,0,0,0,1,0,0
서울특별시,366,665,40,1,6,0,0,1,5,0,0,0
서울특별시,320,436,33,3,7,2,0,0,1,0,1,1
서울특별시,324,361,25,2,5,1,0,0,0,1,0,1
서울특별시,1421,844,50,0,19,2,1,0,0,3,1,1
서울특별시,167,170,9,0,4,0,0,0,2,0,0,0
서울특별시,546,566,31,0,14,0,0,1,4,1,1,1
서울특별시,839,426,24,2,7,1,0,1,1,0,0,0
서울특별시,346,323,11,0,9,0,0,1,1,1,0,2
서울특별시,602,532,26,0,8,1,0,0,2,2,1,1
서울특별시,475,352,17,0,11,1,0,2,3,0,0,0
서울특별시,1131,786,46,0,3,1,0,1,0,0,0,0
서울특별시,335,334,19,1,7,0,0,1,1,1,0,0
서울특별시,570,728,44,0,6,0,0,2,2,2,0,0
서울특별시,867,600,31,1,7,1,0,1,0,0,1,0
서울특별시,417,475,24,0,12,0,0,0,1,0,0,0
서울특별시,357,414,29,0,7,0,1,1,0,1,0,0
서울특별시,1397,921,63,0,15,2,0,1,1,3,0,0
서울특별시,555,621,64,0,12,0,0,0,4,2,1,0
서울특별시,419,451,27,0,10,1,1,0,2,3,1,0
서울특별시,495,401,31,0,12,0,0,0,2,2,0,2
서울특별시,228,223,10,0,3,1,0,0,0,1,0,0
서울특별시,56,113,6,1,0,0,0,0,0,2,0,0
서울특별시,205,398,34,0,3,1,0,0,0,0,1,0
서울특별시,506,603,12,0,6,1,0,1,1,0,0,0
서울특별시,342,689,31,0,6,0,0,1,1,0,0,0
서울특별시,117,168,7,0,3,1,0,0,1,0,0,0
서울특별시,362,390,19,1,3,0,0,1,0,0,1,0
서울특별시,223,441,18,0,8,0,0,0,2,0,0,0
서울특별시,8,29,0,0,1,0,0,0,0,0,0,0
서울특별시,960,865,41,1,6,0,0,0,1,2,0,0
서울특별시,217,334,15,0,4,0,0,2,2,0,0,0
서울특별시,219,351,17,0,7,0,0,0,1,0,0,0
서울특별시,737,617,37,2,10,0,0,0,0,2,0,1
서울특별시,282,428,19,0,8,0,0,0,2,0,0,0
서울특별시,297,392,25,0,8,0,0,1,0,0,0,0
서울특별시,292,274,8,0,1,0,0,0,0,1,0,0
서울특별시,270,405,20,0,2,0,0,0,0,1,1,0
서울특별시,366,710,37,0,10,0,0,0,1,0,0,0
서울특별시,208,223,11,0,2,0,0,0,0,0,0,0
서울특별시,70,155,6,1,1,0,0,0,1,0,0,0
서울특별시,112,181,8,0,1,0,0,0,0,0,0,0
서울특별시,1361,1092,61,2,12,0,0,0,1,2,1,0
